GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Barometric pressure (from vehicle)(psi),Engine Load(Absolute)(%),Engine kW (At the wheels)(kW),Fuel flow rate/hour(l/hr),GPS Latitude(°),GPS Longitude(°),GPS Altitude(m),Horsepower (At the wheels)(hp),GPS Bearing(°),Kilometers Per Litre(Instant)(kpl),Oil Temperature (Engine)(°C),Oil Pressure (Engine)(psi),Absolute Throttle Position B(%),Transmission Fluid Temp (GM Method 1)(°C),Accelerator PedalPosition D(%),Throttle Position(Manifold)(%),Engine RPM(rpm),Engine Coolant Temperature(°C),Engine Load(%),Trip Distance(km),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Ambient air temp(°C),Fuel Level (From Engine ECU)(%),Fuel flow rate/minute(cc/min),Relative Throttle Position(%),Fuel pressure(psi)
Fri Mar 28 13:02:29 KST 2014,28-3-2014 12:58:02.654,127.10851658700034,37.39974728708725,0.0,35.0,134.0,0.0,0.18,6.87,7.45,0.05,14.65,0,-,1.06,37.4,127.11,134,-,0,0,-,-,-,-,19.22,31.76,749,80,0,-,35,4.21,-,-0.15,12.5,0.01,26,56.08,17.66,-,-
Fri Mar 28 13:02:30 KST 2014,28-3-2014 12:58:03.132,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.65,0,-,1.06,37.4,127.11,131,-,0,0,-,-,-,-,19.22,18.43,749,80,26.67,-,33,4.21,-,-0.15,12.5,0.01,26,56.08,17.66,-,-
Fri Mar 28 13:02:30 KST 2014,28-3-2014 12:58:03.707,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.65,0,-,1.06,37.4,127.11,131,-,0,0,-,-,-,-,19.22,18.43,749,80,26.67,-,33,4.21,-,-0.15,12.5,14.46,26,56.08,17.66,-,-
Fri Mar 28 13:02:31 KST 2014,28-3-2014 12:58:04.199,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,0,-,1.06,37.4,127.11,131,-,0,0,-,-,18.43,-,19.22,18.43,749,80,26.67,-,33,4.21,-,-0.15,14.5,14.46,26,56.08,17.66,7.84,-
Fri Mar 28 13:02:31 KST 2014,28-3-2014 12:58:04.676,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.06,37.4,127.11,131,-,0,0,-,0,18.43,57,19.22,18.43,749,80,26.67,-,33,4.21,-,-0.15,14.5,14.46,26,56.08,17.66,7.84,-
Fri Mar 28 13:02:32 KST 2014,28-3-2014 12:58:05.126,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.06,37.4,127.11,131,-,0,0,74,0,18.43,57,19.22,18.43,749,82,26.67,-,33,4.35,-,-10.15,14.5,14.46,26,56.08,17.73,7.84,53.95
Fri Mar 28 13:02:32 KST 2014,28-3-2014 12:58:05.629,127.10851658700034,37.39974728708725,0.0,35.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.06,37.4,127.11,131,-,0,0,74,0,18.43,57,19.22,18.43,745.75,82,26.67,-,33,4.35,-,-10.15,14.5,14.45,26,56.08,17.73,7.84,53.95
Fri Mar 28 13:02:33 KST 2014,28-3-2014 12:58:06.096,127.10851658700034,37.39974728708725,0.0,20.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.06,37.4,127.11,131,-,0,0,74,0,18.43,57,19.22,18.43,745.75,82,26.67,-,33,4.35,-,-10.15,14.4,14.45,26,56.08,17.73,7.84,53.95
Fri Mar 28 13:02:33 KST 2014,28-3-2014 12:58:06.637,127.10851658700034,37.39974728708725,0.0,20.0,131.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.06,37.4,127.11,131,-,0,0,74,0,18.43,57,19.22,18.43,745.75,82,26.67,-,33,4.35,-,-10.15,14.4,14.45,26,56.08,17.73,7.84,53.95
Fri Mar 28 13:02:34 KST 2014,28-3-2014 12:58:07.070,127.10851658700034,37.39974728708725,0.0,20.0,130.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,130,-,0,0,74,0,18.43,57,19.22,18.43,751.5,82,26.67,-,33,4.21,-,-10.3,14.4,14.51,26,56.08,17.97,7.84,53.52
Fri Mar 28 13:02:34 KST 2014,28-3-2014 12:58:07.626,127.10851658700034,37.39974728708725,0.0,20.0,130.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,130,-,0,0,74,0,18.43,57,19.22,18.43,751.5,82,26.67,-,33,4.21,-,-10.3,14.4,14.51,26,56.08,17.97,8.24,53.52
Fri Mar 28 13:02:35 KST 2014,28-3-2014 12:58:08.106,127.10851658700034,37.39974728708725,0.0,30.0,130.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,130,-,0,0,74,0,18.43,57,19.22,18.43,751.5,82,26.67,-,33,4.35,-,-10.15,14.4,14.51,26,56.08,18.52,8.24,52.65
Fri Mar 28 13:02:35 KST 2014,28-3-2014 12:58:08.613,127.10851658700034,37.39974728708725,0.0,30.0,130.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.11,37.4,127.11,130,-,0,0,74,0,18.43,57,19.22,18.43,752.25,82,26.27,-,33,4.35,-,-10.15,14.4,14.46,26,56.08,18.52,8.24,52.65
Fri Mar 28 13:02:36 KST 2014,28-3-2014 12:58:09.099,127.10851658700034,37.39974728708725,0.0,30.0,120.0,0.0,0.18,6.87,7.45,0.05,14.5,16.08,-,1.11,37.4,127.11,120,-,0,0,74,0,18.04,57,19.22,18.43,752.25,82,26.27,-,33,4.35,-,-10.15,14.4,14.46,26,56.08,18.52,7.84,52.65
Fri Mar 28 13:02:36 KST 2014,28-3-2014 12:58:09.626,127.10851658700034,37.39974728708725,0.0,30.0,120.0,0.0,0.18,6.87,7.45,0.05,14.5,16.08,-,1.04,37.4,127.11,120,-,0,0,74,0,18.04,57,19.22,18.43,759,82,26.27,-,33,4.21,-,-10.3,14.4,14.46,26,56.08,17.36,7.84,53.08
Fri Mar 28 13:02:37 KST 2014,28-3-2014 12:58:10.150,127.10851658700034,37.39974728708725,0.0,30.0,118.0,0.0,0.18,6.87,7.45,0.05,14.5,16.08,-,1.04,37.4,127.11,118,-,0,0,74,0,18.04,57,19.22,18.04,759,82,25.1,-,33,4.21,-,-10.3,14.4,14.47,26,56.08,17.36,7.84,53.08
Fri Mar 28 13:02:37 KST 2014,28-3-2014 12:58:10.634,127.10851658700034,37.39974728708725,0.0,30.0,118.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.04,37.4,127.11,118,-,0,0,74,0,18.04,57,19.22,18.04,759,82,25.1,-,33,4.21,-,-10.3,14.4,14.47,26,56.08,17.36,7.84,53.08
Fri Mar 28 13:02:38 KST 2014,28-3-2014 12:58:11.110,127.10851658700034,37.39974728708725,0.0,15.0,104.0,0.0,0.18,6.87,7.45,0.05,14.5,15.69,-,1.08,37.4,127.11,104,-,0,0,74,0,18.04,57,19.22,18.43,746,82,27.06,-,33,4.21,-,-10.3,14.4,14.43,26,56.08,18.03,7.84,53.52
Fri Mar 28 13:02:38 KST 2014,28-3-2014 12:58:11.625,127.10851658700034,37.39974728708725,0.0,15.0,104.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,104,-,0,0,74,0,18.43,57,19.22,18.43,746,82,27.06,-,33,4.21,-,-10.3,14.4,14.43,26,56.08,18.03,7.84,53.52
Fri Mar 28 13:02:39 KST 2014,28-3-2014 12:58:12.146,127.10851658700034,37.39974728708725,0.0,30.0,97.0,0.0,0.18,6.87,7.45,0.05,14.5,16.47,-,1.08,37.4,127.11,97,-,0,0,74,0,18.43,57,19.22,19.61,738,82,30.59,-,33,4.35,-,-10.15,14.4,13.84,26,56.08,18.03,7.84,53.52
Fri Mar 28 13:02:39 KST 2014,28-3-2014 12:58:12.622,127.10851658700034,37.39974728708725,0.0,30.0,97.0,0.0,0.18,6.87,7.45,0.05,14.5,29.41,-,1.08,37.4,127.11,97,-,0,0,74,0,21.96,57,19.22,19.61,738,82,30.59,-,33,4.35,-,-10.15,14.4,13.84,26,56.08,18.03,11.37,53.52
