GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Barometric pressure (from vehicle)(psi),Engine Load(Absolute)(%),Engine kW (At the wheels)(kW),Fuel flow rate/hour(l/hr),GPS Latitude(°),GPS Longitude(°),GPS Altitude(m),Horsepower (At the wheels)(hp),GPS Bearing(°),Kilometers Per Litre(Instant)(kpl),Oil Temperature (Engine)(°C),Oil Pressure (Engine)(psi),Absolute Throttle Position B(%),Transmission Fluid Temp (GM Method 1)(°C),Accelerator PedalPosition D(%),Throttle Position(Manifold)(%),Engine RPM(rpm),Engine Coolant Temperature(°C),Engine Load(%),Trip Distance(km),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Torque(Nm),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Ambient air temp(°C),Fuel Level (From Engine ECU)(%),Fuel flow rate/minute(cc/min),Relative Throttle Position(%),Fuel pressure(psi),Speed (GPS)(km/h),Speed (OBD)(km/h),Fuel used (trip)(l),Fuel tank pressure(psi),Outside air temperature(°C),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C)
-,28-3-2014 17:40:22.297,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,-,-,-,-,-,-,-,-,0,-,-,-,-,-,18.82,1415.75,80,-,-,29,3.05,-,-11.65,-,-,28,57.65,-,-,-,-,39,-,-,-,0,0.08,0,-,-,-
-,28-3-2014 17:40:25.185,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,-,-,-,-,-,-,-,-,29.02,57,0,18.82,48,19.61,19.22,1405,80,14.12,0.01,29,2.9,-,-11.6,14,13.99,28,57.65,-,8.24,43.95,-,38,0,-,-,2,2.6,0,-,-,-
-,28-3-2014 17:40:28.094,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,-,-,1.04,-,-,-,-,-,32.83,57,0,19.61,48,19.22,18.43,971.25,80,18.43,0.04,29,3.19,-,-11.31,14,13.83,28,54.9,17.36,9.41,44.38,-,28,0,-,-,5,5.55,0,-,-,-
-,28-3-2014 17:40:31.026,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,-,-,1.47,-,-,-,-,-,17.11,57,0,19.61,48,19.22,20.78,900.75,81,30.98,0.05,29,4.21,-,-10.3,14,13.96,28,49.41,24.55,10.2,42.64,-,10,0,-,-,8,8.43,0,-,-,-
-,28-3-2014 17:40:32.818,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,23.53,-,1.41,-,-,-,-,-,6.4,57,0,20.78,48,23.14,20,775,81,33.33,0.06,29,5.08,-,-9.43,14,14.04,28,50.2,23.45,9.8,52.21,-,1,0,-,-,10,10.29,0,-,-,-
-,28-3-2014 17:40:34.590,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,26.67,1.79,2.76,-,-,-,2.41,-,0.33,57,0,25.88,48,24.71,25.49,1258.5,81,35.69,0.06,29,8.27,13.61,-6.24,14,14.06,28,56.08,46.05,15.69,41.77,-,5,0,-,-,12,12.13,0,-,-,-
-,28-3-2014 17:40:36.446,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,30.59,6.02,3.79,-,-,-,8.08,-,1.19,58,0,29.02,48,26.27,28.24,1537.25,81,40,0.06,29,8.27,37.41,-6.24,14,14.06,28,58.04,63.23,18.82,43.95,-,11,0.01,-,-,13,13.92,0,-,-,-
-,28-3-2014 17:40:38.197,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,34.51,6.83,5.31,-,-,-,9.15,-,1.86,58,0,30.59,48,25.88,30.59,2037.25,81,41.57,0.07,28,8.27,31.99,-6.24,14,13.96,28,55.69,88.56,20.39,45.69,-,16,0.01,-,-,15,15.71,0,-,-,-
-,28-3-2014 17:40:40.062,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,23.14,7.53,3.49,-,-,-,10.1,-,4.13,58,0,27.06,49,23.53,26.67,1721.5,81,31.37,0.08,28,7.69,41.8,-6.82,14,13.96,28,54.51,58.11,16.47,44.82,-,20,0.01,-,-,17,17.51,0,-,-,-
-,28-3-2014 17:40:41.810,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,10.98,1.81,1.46,-,-,-,2.43,-,12.34,58,0,20,49,19.22,20,1539.75,81,14.9,0.09,28,3.05,11.24,-11.46,14,13.97,28,55.69,24.3,9.8,44.38,-,21,0.01,-,-,19,19.3,0,-,-,-
-,28-3-2014 17:40:43.581,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,11.76,1.81,1.44,-,-,-,2.43,-,13.09,58,0,20.39,49,19.61,20.39,1448,81,16.08,0.1,29,3.05,11.24,-11.46,14,13.98,28,54.12,24.06,9.8,40.9,-,20,0.01,-,-,21,21.05,0,-,-,-
-,28-3-2014 17:40:45.450,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,14.12,-,1.43,-,-,-,-,-,12.63,59,0,21.18,49,21.96,20.39,1371.25,81,16.86,0.11,29,3.19,-,-11.31,14,13.96,28,53.73,23.76,10.59,43.08,-,18,0.01,-,-,22,22.93,0,-,-,-
-,28-3-2014 17:40:47.120,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,11.37,-,1.39,-,-,-,-,-,11.63,59,0,20,49,19.61,20,1356,81,16.47,0.12,29,3.34,-,-11.17,14,13.97,28,55.29,23.21,9.41,43.51,-,17,0.01,-,-,24,24.68,0,-,-,-
-,28-3-2014 17:40:48.955,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,11.76,-,1.28,-,-,-,-,-,11.96,59,0,19.61,49,19.22,19.61,1267.5,81,16.86,0.12,29,3.19,-,-11.31,13.9,13.98,28,55.29,21.32,9.41,43.51,-,17,0.01,-,-,26,26.41,0,-,-,-
-,28-3-2014 17:40:50.740,-,-,-,-,-,-,7.86,0.23,6.47,0.06,14.5,11.37,-,1.22,-,-,-,-,-,12.57,59,0,18.82,49,19.22,19.22,1187.75,81,16.86,0.13,29,3.19,-,-11.31,13.9,13.99,28,55.29,20.28,8.63,43.95,-,16,0.02,-,-,28,28.2,0,-,-,-
