Device Time, G(x), G(y), G(z), G(calibrated),
27-2-2014 17:40:51.704,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:40:52.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:40:53.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:40:54.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:40:55.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:40:56.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:40:57.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:40:58.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:40:59.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:00.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:01.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:02.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:03.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:04.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:05.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:06.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:07.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:08.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:09.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:10.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:11.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:12.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:13.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:14.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:15.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:16.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:17.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:18.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:19.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:20.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:21.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:22.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:23.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:24.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:25.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:26.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:27.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:28.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:29.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:30.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:31.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:32.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:33.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:34.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:35.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:36.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:37.724,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:38.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:39.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:40.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:41.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:42.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:43.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:44.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:45.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:46.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:47.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:48.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:49.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:50.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:51.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:52.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:53.699,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:54.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:55.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:56.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:57.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:58.717,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:41:59.698,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:00.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:01.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:02.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:03.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:04.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:05.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:06.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:07.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:08.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:09.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:10.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:11.698,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:12.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:13.699,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:14.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:15.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:16.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:17.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:18.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:19.719,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:20.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:21.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:22.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:23.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:24.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:25.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:26.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:27.704,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:28.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:29.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:30.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:31.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:32.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:33.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:34.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:35.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:36.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:37.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:38.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:39.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:40.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:41.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:42.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:43.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:44.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:45.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:46.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:47.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:48.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:42:49.696,8.25,0.19,6.17999983,0.06994313,
